label,fallacy_example,non-fallacy_example
faulty generalization,Conocí a un hombre alto al que le encantaba comer queso. Ahora creo que a todas las personas altas les gusta el queso.,Conocí a un hombre alto al que le encantaba comer queso. No puedo afirmar que a todas las personas altas les guste el queso.
faulty generalization,"Conozco a tres pelirrojas que tienen un carácter terrible, y como Annabel es pelirroja, apuesto a que también tiene un carácter terrible.","Conozco a varias personas que tienen un carácter terrible, y como Annabel es una de ellas, apuesto a que también tiene un carácter terrible."
faulty generalization,La gente de las grandes ciudades no es tan amable como la de los pueblos pequeños.,"La gente de las grandes ciudades puede ser tan amable como la de los pueblos pequeños, dependiendo de las personas."
faulty generalization,Mi hermano Humza come hamburguesas con queso y pizza. Es delgado. Las hamburguesas con queso y la pizza no son la causa de la obesidad.,Mi hermano Humza come una variedad de alimentos saludables. Es delgado. No hay una relación directa entre comer hamburguesas con queso y pizza y tener obesidad.
faulty generalization,"""Mi compañera de cuarto, Fátima, dijo que su clase de filosofía era difícil, y la que yo tengo también lo es. Todas las clases de filosofía deben ser difíciles"". insistió Baneen.","Fátima dijo que su clase de filosofía era difícil, pero eso no significa que todas las clases de filosofía lo sean, dijo Baneen."
faulty generalization,Acabo de hablar por teléfono con un sureño y apenas pude seguirle el ritmo. Todos los sureños hablan rápido.,Acabo de hablar por teléfono con un sureño y apenas pude seguirle el ritmo. Eso no significa que todos los sureños hablen rápido.
faulty generalization,Tengo varias amigas y a todas ellas les encanta la música country. A todas las mujeres les gusta la música country.,"Tengo varias amigas que les encanta la música country, pero no puedo afirmar que a todas las mujeres les guste."
faulty generalization,Ese tipo de coche está mal hecho; un amigo mío tiene uno y le da continuamente problemas.,Ese tipo de coche es muy popular entre los conductores jóvenes.
faulty generalization,Todo el mundo ama a Post Malone y puede nombrar al menos una de sus canciones.,Todas las personas que aman a Post Malone pueden nombrar al menos una de sus canciones.
faulty generalization,"""¡Esa nueva casa se ve muy bien! Comprémosla"".",¡Esa nueva casa se ve muy bien! ¿Quieres ir a verla?
faulty generalization,Creemos que esta nueva aplicación de juego MallTime será un éxito porque a todas las niñas les gusta ir de compras.,"Creemos que esta nueva aplicación de juego MallTime puede ser un éxito, ya que ha recibido buenas reseñas y ha tenido una buena acogida en otras ciudades."
faulty generalization,"Ayer vi a un alumno enviando mensajes de texto en mi clase; todos mis alumnos deben estar enviando mensajes de texto, así que los teléfonos móviles deberían estar prohibidos.",Ayer vi a un alumno enviando mensajes de texto en mi clase; esto me hizo pensar en prohibir los teléfonos móviles en mi clase.
faulty generalization,"""Los dos cursos que hice en Harvard no fueron muy interesantes. No creo que sea una buena universidad"".","Los dos cursos que hice en Harvard no fueron muy interesantes. Sin embargo, eso no significa que la universidad en su totalidad no sea buena."
faulty generalization,"""Los pájaros pueden volar; por lo tanto, los pingüinos pueden volar"".","Los pájaros pueden volar, pero no todos los animales que vuelan son pájaros. Los pingüinos no pueden volar."
faulty generalization,No entiendo por qué la gente se queja de que es difícil encontrar trabajo en este mercado laboral. Mi hija y yo conseguimos trabajo sin ningún problema.,No entiendo por qué la gente se queja de que es difícil encontrar trabajo en este mercado laboral. Tal vez tienen dificultades que no tengo yo o mi hija.
faulty generalization,"Esta mañana, cuando iba al trabajo, una mujer en bicicleta casi me sacó de la acera. ¡No me había dado cuenta de que los ciclistas eran tan agresivos y maleducados!","Esta mañana, cuando iba al trabajo, una mujer en bicicleta casi me sacó de la acera. Aunque no me había dado cuenta de que los ciclistas eran tan agresivos y maleducados, algunas personas pueden serlo en cualquier situación."
faulty generalization,"Incluso sin ver la película, sólo sé que no sería tan buena como el libro.","No he podido ver la película, pero según lo que he oído de gente que sí la ha visto, no es tan buena como el libro."
faulty generalization,"""Pain-Away funcionó para mí, así que seguro que también funcionará para ti"".","Pain-Away funcionó para mí, pero eso no significa que necesariamente funcionará para ti."
faulty generalization,"El gobierno está convencido de que fue una bomba la que derribó el avión. ""Nuestros compatriotas creen que fue una bomba"", dijo el presidente. ""Una encuesta realizada unos días después del accidente indica que casi el setenta por ciento de la gente cree que fue una bomba de los terroristas"".","El gobierno está convencido de que fue una bomba la que derribó el avión. ""Nuestros compatriotas creen que fue una bomba"", dijo el presidente. ""Una encuesta realizada unos días después del accidente indica que casi el setenta por ciento de la gente cree que fue una bomba de los terroristas"". Sin embargo, esto no significa necesariamente que realmente fue una bomba lo que causó el accidente."
faulty generalization,Todos los que odian la administración Duterte son partidarios del CPP-NPA.,No todas las personas que odian a la administración Duterte son partidarios del CPP-NPA.
faulty generalization,"La Sra. Miller dio clases a tu hermano mayor, que era el payaso de la clase. Decide ser estricta contigo desde el primer día de clase porque cree que tú también serás un payaso.",La Sra. Miller dará clases a ti y puede tener sus propias percepciones y expectativas sobre tu comportamiento en clase. Esto no necesariamente significa que te tratará de manera diferente porque tu hermano mayor fue un payaso en su clase.
faulty generalization,"JOHN F. KENNEDY: No estoy satisfecho cuando los Estados Unidos tuvieron el año pasado la tasa más baja de crecimiento económico de cualquier sociedad industrializada importante en el mundo... (de la declaración de apertura) RICHARD NIXON: Escuchamos esta noche, por ejemplo, la declaración de que nuestro crecimiento del producto nacional el año pasado fue el más bajo de cualquier nación industrializada en el mundo. El año pasado, por supuesto, fue 1958. Ese fue un año de recesión. Pero cuando miramos el crecimiento del P.N.G. este año, un año de recuperación, encontramos que es del seis y nueve décimos por ciento y uno de los más altos del mundo hoy... (de la declaración de apertura) 26 de septiembre de 1960 Chicago, Illinois","JOHN F. KENNEDY: No estoy satisfecho cuando los Estados Unidos tuvieron el año pasado la tasa más baja de crecimiento económico de cualquier sociedad industrializada importante en el mundo... (de la declaración de apertura) RICHARD NIXON: Escuchamos esta noche, por ejemplo, la declaración de que nuestro crecimiento del producto nacional el año pasado fue el más bajo de cualquier nación industrializada en el mundo. El año pasado, por supuesto, fue 1958. Ese fue un año de recesión. Cuando miramos el crecimiento del P.N.G. este año, un año de recuperación, encontramos que es del seis y nueve décimos por ciento y uno de los más altos del mundo hoy... (de la declaración de apertura) 26 de septiembre de 1960 Chicago, Illinois"
faulty generalization,"""No deberías ir a 'Vomito' yo fui una vez y la comida era horrible"" es",No deberías ir a 'Vomito' yo fui una vez y la comida era horrible es una opinión personal sobre un restaurante en particular. Otros pueden tener una experiencia diferente.
faulty generalization,Evite Latam Airlines. Sus aviones siempre llegan tarde,Las aerolíneas son diferentes. Latam Airlines puede tener aviones que llegan tarde en algunos casos.
faulty generalization,"Dos de mis mejores amigos son personas muy introvertidas y tímidas, y ambos tienen gatos. Eso me lleva a creer que la mayoría de los amantes de los gatos son realmente tímidos.","Mis amigos son personas introvertidas y tímidas, y ambos tienen gatos. No puedo concluir que todos los amantes de los gatos sean introvertidos o tímidos."
faulty generalization,Sólo he leído un par de páginas de este libro y ya he encontrado una errata. De ninguna manera voy a leer el resto de esta basura.,Sólo he leído un par de páginas de este libro y ya he encontrado una errata. No puedo decir si el resto del libro es bueno o no.
faulty generalization,Creemos que Malltime será un éxito porque a todas las niñas les gusta ir de compras.,Creemos que Malltime será un éxito porque ofrece productos de alta calidad y excelentes servicios al cliente.
faulty generalization,"A mi compañero de cuarto de Maine le encantan las langostas, por lo tanto a toda la gente de Maine le encantan las langostas.","Mi compañero de cuarto de Maine le encanta las langostas, pero esto no significa que toda la gente de Maine las disfrute."
faulty generalization,"La araña que picó era venenosa, por lo tanto todas las arañas son venenosas.","La araña que picó era venenosa, pero no se puede generalizar a todas las arañas."
faulty generalization,"El niño no hizo sus tareas, por lo que todos los niños son perezosos.",No se puede generalizar que todos los niños sean perezosos solo porque uno de ellos no hizo sus tareas.
faulty generalization,"Los adolescentes fueron groseros e irrespetuosos, por lo que todos los adolescentes son groseros e irrespetuosos.",No se puede generalizar que todos los adolescentes sean groseros e irrespetuosos solo porque algunos lo son.
faulty generalization,"Un chico de mi clase con gafas siempre habla en clase, así que todos los chicos con gafas son habladores.",No todos los chicos con gafas son habladores.
faulty generalization,Ayer conocí a una persona grosera de Francia. Supongo que todos los franceses son maleducados.,Ayer conocí a una persona grosera que es francesa. No se puede generalizar sobre todos los franceses.
faulty generalization,Christine tiene una experiencia terrible con un novio. Decide que todos los chicos son malos.,Christine ha tenido una experiencia mala con un novio. Esto no significa que todos los chicos son malos.
faulty generalization,"""Como los jóvenes conductores varones tienen el doble de probabilidades de sufrir un accidente de tráfico, deberían pagar más por el seguro del coche"".","La edad y el género de los conductores pueden ser factores que afecten las tasas de seguro del coche. Por lo tanto, es posible que los jóvenes conductores varones paguen más por el seguro del coche."
faulty generalization,¿las organizaciones de noticias son Fake News?,¿Es cierto que todas las organizaciones de noticias son Fake News?
faulty generalization,Alissa tiene clase con un jugador de fútbol que es un payaso de la clase. Interrumpe la clase y la suspende. Alissa decide que todos los jugadores de fútbol no son estudiantes serios.,Alissa tiene clase con un jugador de fútbol que es un payaso de la clase. Interrumpe la clase y la suspende. Alissa decide que ese jugador de fútbol no es un estudiante serio.
faulty generalization,"Fred, el alemán, me robó la cartera. Por lo tanto, todos los alemanes son ladrones.","Los alemanes no son todos ladrones solo porque Fred, que es alemán, me robó la cartera."
faulty generalization,"Cuatro de cada cinco dentistas recomiendan la marca de pasta de dientes Happy Glossy Smiley. Por lo tanto, debe ser genial.","Cuatro de cada cinco dentistas recomiendan la marca de pasta de dientes Happy Glossy Smiley, pero eso no necesariamente significa que sea genial."
faulty generalization,"""Aunque sólo es el primer día, puedo decir que este va a ser un curso aburrido"".","Me alegro de que no sea el primer día del curso, porque me gustaría tener una idea más clara de cómo será."
faulty generalization,"Los sureños hablan rápido. Acabo de hablar por teléfono con uno, ¡y apenas pude seguirle el ritmo!","He oído que los sureños suelen hablar rápido, y me sorprendió lo rápido que hablaba la persona con la que hablé por teléfono."
faulty generalization,"Tengo un coche rojo. Mi coche tuvo un accidente. Por lo tanto, todos los coches rojos se destrozan.",Tengo un coche rojo. Mi coche tuvo un accidente. No todos los coches rojos se destrozan.
faulty generalization,"""No hay buenos restaurantes en Sydney; probé dos y ambos eran horribles"".","No he encontrado buenos restaurantes en Sydney; probé dos y ambos eran horribles. Sin embargo, eso no significa necesariamente que no haya buenos restaurantes en Sydney."
faulty generalization,"definir a una persona basándose en opiniones erróneas derivadas de juicios realizados sobre un grupo, una clase o una raza de personas","No se puede definir a una persona basándose en opiniones erróneas derivadas de juicios realizados sobre un grupo, una clase o una raza de personas."
faulty generalization,¿Por qué cruzó la rubia la carretera?  Porque vio una venta de zapatos.,¿Por qué cruzó la rubia la carretera? Porque necesitaba llegar al otro lado.
faulty generalization,"Todas las personas que obtienen un título universitario son mejores.  Todas las personas que están mejor como resultado de obtener un título son buenas para tener conversaciones.  Por lo tanto, todos los que obtienen un título universitario son buenas personas con las que se puede conversar.","Todas las personas que obtienen un título universitario pueden tener habilidades valiosas. Algunas de estas habilidades pueden ser buenas para tener conversaciones. Sin embargo, esto no necesariamente significa que todas las personas con títulos universitarios sean buenas para tener conversaciones."
faulty generalization,Las personas que llevan gafas son más inteligentes.,Las personas que usan gafas pueden tener una mayor agudeza visual.
faulty generalization,Todos los perros van al cielo.,No todos los perros van al cielo.
faulty generalization,Todos los altos son buenos jugadores de baloncesto.,Todos los jugadores de baloncesto pueden ser altos.
faulty generalization,"1 = un número; 2 = un número; por tanto, 1 = 2.",1 = un número; 2 = un número; pero eso no significa necesariamente que 1 = 2.
faulty generalization,Las mujeres no pueden hacer un trabajo tan bueno como los hombres.,No todas las mujeres son capaces de realizar un trabajo tan bien como algunos hombres.
faulty generalization,Todas las personas que viven en Inglaterra tienen malos dientes.,No todas las personas que viven en Inglaterra tienen malos dientes.
faulty generalization,Los niños de Pre-AP son inteligentes y creativos.,"Los niños de Pre-AP pueden ser inteligentes y creativos, pero esto no significa que todos lo sean."
faulty generalization,Mi entrevista de trabajo no fue bien. Nunca conseguiré un trabajo.,Mi entrevista de trabajo no fue bien. No significa que no consiga un trabajo en el futuro.
faulty generalization,"la culpa del accidente es de un adolescente en ECR, así que todos los adolescentes en ECR son malos conductores","La culpa del accidente es de un adolescente en ECR, pero eso no significa que todos los adolescentes en ECR sean malos conductores."
faulty generalization,Mira a gente como Michael Vick y OJ Simpson. Los atletas profesionales realmente no tienen sentido de la moral.,"Los atletas profesionales pueden tener un sentido de la moral, aunque hay casos en que pueden faltarles."
faulty generalization,Los adolescentes son demasiado inmaduros y ensimismados como para entender algo de los problemas globales.,Los adolescentes pueden ser maduros y conscientes de los problemas globales.
faulty generalization,"Mi gato duerme todo el día, así que los gatos deben ser bastante perezosos.","Los gatos pueden tener diferentes hábitos de sueño, no todos son perezosos."
faulty generalization,"""Hoy en día la gente sólo vota con sus emociones en lugar de con su cerebro"".","La gente suele votar con emociones en lugar de con su cerebro, pero eso no significa que todos lo hagan."
faulty generalization,Los padres de hoy en día prefieren que sus hijos supriman su identidad en lugar de ser quienes son aunque no vaya con la norma.,Los padres de hoy en día prefieren que sus hijos se expresen libremente y sean ellos mismos aunque no vaya con la norma.
faulty generalization,La gente que lee es inteligente.,La gente que lee puede ser inteligente.
faulty generalization,"""Tengo un amigo japonés y es cierto que todos ellos están entumecidos"".",Conozco a un amigo japonés y él me dijo que algunas personas pueden sentir entumecimiento en algunas partes del cuerpo.
faulty generalization,"Jeff se prepara para crear un anuncio de una nueva bebida energética. Visita un instituto local y hace una encuesta a los alumnos de una clase de inglés sobre sus preferencias de bebidas. La mayoría de la clase dice que prefiere las bebidas con sabor a uva, así que Jeff dice a sus superiores que la uva es el sabor más favorecido por los estudiantes de secundaria. ¿Qué error de razonamiento ha cometido Jeff?","Jeff visitó un instituto local y hizo una encuesta a los alumnos de una clase de inglés sobre sus preferencias de bebidas. La mayoría de la clase dijo que prefieren las bebidas con sabor a uva. Jeff informó a sus superiores de esto, y sugirió que la uva podría ser un buen sabor para la nueva bebida energética. Sin embargo, su sugerencia no se basa en una muestra representativa de todos los estudiantes de secundaria, por lo que no se puede afirmar con certeza que la uva es el sabor más favorecido por los estudiantes de secundaria."
faulty generalization,No hay buenos restaurantes en Nueva York; probé dos en Times Square y eran horribles.,"Hay buenos restaurantes en Nueva York, pero solo he probado dos en Times Square y eran horribles."
faulty generalization,"""Todo el mundo quiere ser profesor de inglés"".",No todo el mundo quiere ser profesor de inglés.
faulty generalization,"""A Sarah le gusta correr. A todas las chicas les debe gustar correr"".",A Sarah le gusta correr. No necesariamente todas las chicas les gusta correr.
faulty generalization,Nadie se detiene a procesar... Nadie aprecia el valor,Algunas personas se detienen a procesar... Algunas personas aprecian el valor.
faulty generalization,Mi tío come pizza y tarta y está delgado. La pizza y el pastel no son la causa de la obesidad.,Mi tío come pizza y tarta y está delgado. La dieta y el ejercicio son factores importantes en la obesidad.
faulty generalization,"""Hace poco, unos altos vandalizaron el parque, los altos son irresponsables"".","Los altos son personas de estatura alta. Algunos de ellos son irresponsables, como los que vandalizaron el parque."
faulty generalization,"A Sarah le encanta llevar zapatillas de correr, a todas las chicas les debe gustar correr.","A Sarah le encanta llevar zapatillas de correr, pero no necesariamente a todas las chicas les gusta correr."
faulty generalization,"Mis padres son demócratas y son buenas personas. Por lo tanto, todos los demócratas deben ser buenas personas.","Mis padres son demócratas y son buenas personas. Sin embargo, no podemos afirmar que todos los demócratas sean buenas personas."
faulty generalization,Todos los musulmanes son terroristas,No todos los musulmanes son terroristas.
faulty generalization,Puedo decir que esta película va a ser terrible; ¡los créditos iniciales aún no han terminado!,Esta película es una obra maestra. Los créditos iniciales ya han terminado y la película sigue siendo interesante.
faulty generalization,A todos los que les gusta la pizza les gusta el pepperoni,No todos los que les gusta la pizza les gusta el pepperoni.
faulty generalization,"Mi mejor amiga dijo que su clase de inglés era difícil, y la que yo tengo también lo es. Todas las clases de inglés deben ser difíciles"".","Mi mejor amiga dijo que su clase de inglés era difícil, y la que yo tengo también lo es. No necesariamente todas las clases de inglés deben ser difíciles."
faulty generalization,Mi prima dijo que su clase de matemáticas era difícil. La que yo tengo también es difícil. Todas las clases de matemáticas deben ser difíciles.,Mi prima dijo que su clase de matemáticas era difícil. La que yo tengo también es difícil. No todas las clases de matemáticas deben ser difíciles.
faulty generalization,Todos los ajedrecistas son genios.,No todos los ajedrecistas son genios.
faulty generalization,"Intentar terminar un maratón es imposible, lo sé porque lo intenté una vez.","Terminar un maratón puede ser un desafío, pero eso no significa que sea imposible."
faulty generalization,TODOS los adolescentes son irresponsables,TODOS los adolescentes no necesariamente son irresponsables.
faulty generalization,"""Los dos cursos que hice en la UWI no fueron muy interesantes. No creo que sea una buena universidad"".",Los dos cursos que hice en la UWI no fueron muy interesantes. No es necesario que sea una buena universidad.
faulty generalization,"A mi perro le ha rociado una mofeta esta mañana en el sendero; por lo tanto, correr por el sendero es peligroso.","A mi perro le ha rociado una mofeta esta mañana en el sendero; por lo tanto, correr por el sendero es peligroso para mi perro."
faulty generalization,No puedo confiar en el alcalde ni en el gobernador. Todos los políticos deben ser mentirosos.,No puedo confiar en el alcalde ni en el gobernador. Puede que no me gusten sus políticas o acciones.
faulty generalization,Todos los profesores de escritura deben ser increíbles porque la Sra. López lo es.,"La Sra. López es una excelente profesora de escritura, pero esto no significa necesariamente que todos los profesores de escritura sean increíbles."
faulty generalization,"Juzgar injustamente a las personas por su aspecto, sus creencias o su origen étnico.","No debemos juzgar a las personas de manera injusta por su aspecto, sus creencias o su origen étnico."
faulty generalization,Tiene una amiga que afirma que a los gatos les gusta ir a las ventanas y ver las puestas de sol porque eso es lo que hacen sus gatos.,A su amiga le gusta decir que a los gatos les gusta ir a las ventanas y ver las puestas de sol porque eso es lo que hacen sus gatos.
faulty generalization,"""No sé cómo completar mi tarea de geometría esta noche; probablemente no pueda aprobar el curso ya que no puedo hacer esta tarea"".","No sé cómo completar mi tarea de geometría esta noche, pero eso no significa que no pueda aprobar el curso."
faulty generalization,Dos miembros de mi equipo se han convertido en empleados más comprometidos después de tomar clases de oratoria. Eso demuestra que deberíamos tener clases obligatorias de oratoria para toda la empresa para mejorar el compromiso de los empleados.,Dos miembros de mi equipo se han convertido en empleados más comprometidos después de tomar clases de oratoria. Eso puede ser una razón por la que podría ser beneficioso ofrecer clases de oratoria a toda la empresa.
faulty generalization,"Un león es un gato y los gatos son buenas mascotas, así que un león debe ser una buena mascota.",Un león es un felino y no necesariamente es una buena mascota.
faulty generalization,"Todos mis amigos pelirrojos son buenos bailarines. Por lo tanto, todos los pelirrojos deben ser buenos bailarines.","No todos mis amigos pelirrojos son buenos bailarines. Por lo tanto, no todos los pelirrojos deben ser buenos bailarines."
faulty generalization,¿Por qué cruzó la rubia la carretera?  Porque vio una venta de zapatos.,¿Por qué cruzó la rubia la carretera? Porque quería llegar al otro lado.
faulty generalization,"El gato de mi vecino me atacó, por lo tanto todos los gatos son malos.","El gato de mi vecino me atacó, pero eso no significa que todos los gatos sean malos."
faulty generalization,"A veces las vacunas contra la gripe no funcionan, por lo que las vacunas son inútiles.","A veces las vacunas contra la gripe no siempre funcionan en todas las personas, pero en general son muy efectivas en prevenir enfermedades graves."
faulty generalization,"He visto a dos mujeres tener un accidente de coche. Por lo tanto, todas las mujeres son malas conductoras",He visto a dos mujeres tener un accidente de coche. Esto no significa que todas las mujeres sean malas conductoras.
faulty generalization,"He visto que ese perro come pollo, así que todos los perros deben comer sólo pollo.","He visto que ese perro come pollo, así que algunos perros comen sólo pollo."
faulty generalization,Mi madre dice que la mayoría de los turistas de Francia son maleducados. El otro día tuvo que atender a uno y la señora le tiró las tortitas al suelo porque no eran lo suficientemente grandes.,"Mi madre dice que la mayoría de los turistas de Francia son maleducados. La verdad es que no sé si eso es cierto o no, pero el otro día tuvo que atender a uno que le tiró las tortitas al suelo porque no eran lo suficientemente grandes."
faulty generalization,"Mi amiga dijo que su clase de Matemáticas era difícil, y la que yo tengo también lo es. Todas las clases de matemáticas deben ser difíciles.","Mi amiga dijo que su clase de Matemáticas era difícil, y la que yo tengo también lo es. Esto no significa necesariamente que todas las clases de matemáticas sean difíciles."
faulty generalization,Hoy ha habido una pelea en la escuela. La violencia es un problema creciente en la escuela.,Hoy ha habido una pelea en la escuela. La violencia es una conducta inadecuada que debe ser abordada en la escuela.
faulty generalization,"Deberíamos entrar; la última vez que las nubes estaban tan oscuras, hubo un tornado.","A veces las nubes oscuras pueden causar un tornado, pero no necesariamente lo hacen."
faulty generalization,Mi tía estuvo en el hospital durante 6 semanas por no llevar el cinturón de seguridad.,"Mi tía estuvo en el hospital durante 6 semanas por no llevar el cinturón de seguridad, pero eso no necesariamente significa que todos los que no lo lleven terminen en el hospital."
faulty generalization,Mi profesora nos dijo que había aprendido por las malas que la procrastinación es un mal hábito.,Mi profesora nos dijo que había aprendido por las malas que la procrastinación puede llevar a resultados negativos.
faulty generalization,Hago ejercicio por la mañana porque le funcionó a mi amigo.,Hago ejercicio por la mañana porque he encontrado que me ayuda a sentirme energizado y saludable.
faulty generalization,Unos pocos alumnos se portan mal... por lo tanto toda la clase es mala.,
faulty generalization,"Tres niños de una clase suspendieron el examen de Jane Eyre, supongo que todos los demás lo suspenderán también.",
faulty generalization,"Los chihuahuas son buenos perros de interior. Los pastores alemanes son perros; por lo tanto, los pastores alemanes también serían buenos perros de interior.",
faulty generalization,No se debería permitir que las chicas se presenten a las pruebas de los equipos de fútbol de la escuela porque las chicas no son muy atléticas.,
faulty generalization,"Algunos alumnos que asisten a clases particulares en verano no son muy inteligentes. Desde que Beth asiste a las clases particulares de verano, no es muy buena estudiante.",
faulty generalization,Todos los estudiantes son buenos y todos los payasos son malos.,
faulty generalization,"Aunque la gente diga que nos vamos a comportar, sabemos que no se van a comportar bien.",
faulty generalization,"Mis padres son vegetarianos y son buenas personas. Por lo tanto, todos los vegetarianos deben ser buenas personas.",
faulty generalization,"Ese alemán, Fred, me robó la cartera. Todos los alemanes son ladrones.",
faulty generalization,"El meteorólogo predijo una cantidad de lluvia equivocada para mayo. Evidentemente, el meteorólogo no es de fiar.",
faulty generalization,"Mi primer día de entrenamiento de baloncesto fue fácil, así que siempre será fácil.",
faulty generalization,"La primera vez que conocí al Sr. Casal me fue mal, así que su clase no será buena este año.",
faulty generalization,"Mi primera vez paseando al perro fue terrible, así que mi perro es terrible.",
faulty generalization,"La primera vez que fui a Six Flags fue genial, así que cada vez que vaya será genial.",
faulty generalization,Casi todos los estudiantes con los que hablé dijeron que no les gustaba el senador. Estoy seguro de que perderá las elecciones el martes.,
faulty generalization,"En el párrafo 43, Rodríguez acusa a los étnicos de clase media de ser culpables de cuál de las siguientes falacias lógicas?",
faulty generalization,"""La libertad de elección es una libertad importante. Los estudiantes deben tener la libertad de elegir entre diferentes tipos de refrescos"".",
faulty generalization,"Después de escuchar la primera canción del nuevo disco de vinilo de mi músico favorito, supe que odiaría todo el disco, así que lo convertí en un frisbee.",
faulty generalization,"Si fuera al centro comercial y encuestara a 3 personas, esas opiniones no representarían las de la población de la ciudad.",
faulty generalization,Mi coche se rompió ayer. Los coches no valen nada.,
faulty generalization,"Ha fumado cigarrillos toda su vida y no tiene cáncer de pulmón. Por lo tanto, fumar no causa cáncer de pulmón.",
faulty generalization,"""Los rubios son menos inteligentes que las personas con otros colores de pelo"".",
faulty generalization,"""Has llegado tarde esta noche. Debes estar haciendo trampa"".",
faulty generalization,"Mientras investigaba para su tema de debate sobre los uniformes escolares, Sara descubrió que una encuesta realizada en una escuela primaria local indicaba que el 72% de sus alumnos de primer grado querían llevar uniformes. Utilizó este dato como prueba para apoyar que todos los institutos deberían llevar uniformes escolares.",
faulty generalization,"""Mi compañera de cuarto dijo que su clase de Debate era difícil, y la que yo tengo ahora también lo es. Todas las clases de Debate deben ser difíciles"".",
faulty generalization,"Jack es un buen atleta. Jack es de Canadá. Por lo tanto, todos los canadienses son buenos atletas.",
faulty generalization,La guerra contra las drogas infunde miedo a los delincuentes para que se detengan los delitos en Filipinas.,
faulty generalization,"Mi compañera de cuarto dijo que su clase de filosofía era difícil, y la que yo tengo también lo es. Todas las clases de filosofía deben ser difíciles.",
faulty generalization,"En los dos misterios de asesinatos que he leído, el fiscal del distrito era el culpable. A todos los escritores de misterio les gusta convertir a los abogados en villanos.",
faulty generalization,"Fred, el australiano, me robó la cartera. Por lo tanto, todos los australianos son ladrones.",
faulty generalization,"He preguntado a seis de mis amigos qué opinan de las nuevas restricciones de gasto y han coincidido en que es una buena idea. Por lo tanto, las nuevas restricciones son generalmente populares.",
faulty generalization,"Como los casos se dispararon rápidamente en la ciudad de Nueva York en marzo, se justificó el cierre de todo el país.",
faulty generalization,Todos los conductores de coches deportivos son demasiado agresivos.,
faulty generalization,Todos los cursos universitarios obligatorios son aburridos.,
faulty generalization,Las familias felices hacen niños felices.,
faulty generalization,Fred el australiano me robó la cartera. ¡Todos los australianos son ladrones!,
faulty generalization,Los libros de ciencia ficción no merecen el tiempo que se necesita para leerlos.,
faulty generalization,"Uno de nuestros clientes duplicó sus conversiones después de cambiar todo el texto de su página de aterrizaje a rojo brillante. Por lo tanto, cambiar todo el texto a rojo es una forma probada de duplicar las conversiones.",
faulty generalization,"A mi hermana le encanta ir de compras, así que a todas las chicas también les debe gustar.",
faulty generalization,Las personas que aprenden de sus errores no los repiten.,
